time,pos_x,pos_y,pos_z,vx,vy,speed,yaw,yaw_rate,acceleration,steer_deg,steer_norm,steer_sin,steer_cos,throttle_norm,brake_norm
802.1521185639972,8.50069540848629,15.94465732361308,0.0,1.7518244108926204,-5.773994637158695e-05,1.7518244119060522,-0.2520413789069201,2.9462139804925163,-0.00982669248286161,42.913307189941406,0.9979838881381723,0.6808909868201984,0.7323847786969746,0.66,0.0
802.1571185639972,8.508968724927987,15.942468589878668,0.0,1.752145308807541,-4.354537806385624e-05,1.7521453093605583,-0.23736223117558522,2.946285172423751,0.25168128930741496,42.913307189941406,0.9979838881381723,0.6808909868201984,0.7323847786969746,0.66,0.0
802.1621185639972,8.517491081964264,15.94037984265992,0.0,1.7543412244414227,-3.4301553656788075e-05,1.7543412247991264,-0.2225511558872097,2.9470997971328607,0.42584557575415793,42.913307189941406,0.9979838881381723,0.6808909868201984,0.7323847786969746,0.66,0.0
802.1671185639972,8.526045433975586,15.938399108010161,0.0,1.7564037649150634,-2.5599157506728427e-05,1.7564037651181,-0.20773788037824945,2.9478730912297477,0.38006326974304727,42.913307189941406,0.9979838881381723,0.6808909868201984,0.7323847786969746,0.66,0.0
802.1721185639972,8.534677616873147,15.936681124431699,0.0,1.758141857349311,-1.82138382107172e-05,1.7581418574965568,-0.19291925261888776,2.9485458445956745,0.34761847569135806,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.1771185639972,8.543309799770707,15.934963140853238,0.0,1.7598799497835584,-1.0828518914705966e-05,1.7598799498750135,-0.1781006248595261,2.9492185979616017,0.34761847569135806,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.1821185639972,8.551941982668268,15.933245157274778,0.0,1.761618042217806,-3.443199618694737e-06,1.7616180422534704,-0.16328199710016442,2.949891351327529,0.3352370534613014,42.913307189941406,0.9979838881381723,0.6808909868201984,0.7323847786969746,0.66,0.0
802.1871185639972,8.560605544091572,15.93166180859688,0.0,1.763232320405214,2.539381274184506e-06,1.7632323204096265,-0.1484880649774233,2.950316304468188,0.30162270355003074,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.1921185639972,8.569322916616338,15.930309345600282,0.0,1.7646342692737285,6.116403054718353e-06,1.7646342692889707,-0.13373648345517558,2.950316304468188,0.2779675357554856,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.1971185639972,8.578034141651617,15.928977727847997,0.0,1.7660119957370282,9.982072801600715e-06,1.7660119957671814,-0.11898062122527922,2.9503894201268452,0.23889309623057464,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.2021185639971,8.58665234576409,15.92796153053942,0.0,1.7670232001444597,1.8215427966650177e-05,1.7670232002512765,-0.10415998533834703,2.9515688875821096,0.20110455443671515,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.2071185639971,8.595343554328577,15.927013568569938,0.0,1.7680230411184055,2.5697283149368296e-05,1.7680230413115485,-0.08933186416836934,2.9524893977459543,0.19798123997110118,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.2121185639971,8.604162416151773,15.926184920740265,0.0,1.7690030123546223,3.186508940743151e-05,1.7690030126509875,-0.0744906544709559,2.952957103440975,0.2109160444089042,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.2171185639971,8.612987821900415,15.925447083818733,0.0,1.7701322013642111,3.711345202516989e-05,1.7701322017556376,-0.05967622898468328,2.9532576061275773,0.25265572316692797,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.2221185639971,8.62182498860477,15.924872455215798,0.0,1.7715295694108362,4.0709360618835364e-05,1.7715295698826568,-0.04490994095408503,2.9532576061275773,0.2568534986017168,42.913307189941406,0.9979838881381723,0.6808909868201984,0.7323847786969746,0.66,0.0
802.2271185639971,8.63065985681313,15.924348210506158,0.0,1.7727007361899987,4.4197736741519575e-05,1.7727007367416547,-0.030113909289068708,2.9534453462020767,0.11812652375826627,42.913307189941406,0.9979838881381723,0.6808909868201984,0.7323847786969746,0.66,0.0
802.2321185639971,8.639482927071473,15.924082581280581,0.0,1.7727108344916147,4.7134159447808106e-05,1.7727108351202394,-0.015165206524027718,2.9545967372981576,0.01834347415483606,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.2371185639971,8.6483155401117,15.923885152341933,0.0,1.77288417078428,4.976489422992568e-05,1.772884171483203,-0.00024192566081319283,2.9555339278992174,0.07446870355682922,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.2421185639971,8.657171420798594,15.923854012458017,0.0,1.7734555214028502,5.165028675259645e-05,1.7734555221558077,0.014619370360186314,2.955948845069404,0.11198550616746683,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.2471185639971,8.666025191418898,15.923912391155556,0.0,1.7740040257417127,5.3371169919852624e-05,1.7740040265448778,0.02947395337417697,2.956280236967526,0.10549801512753643,42.82257843017578,0.9958739169808322,0.6797303909199575,0.7334620614999809,0.66,0.0
802.2521185639971,8.674875080304941,15.924135450600913,0.0,1.7745105014607496,5.4789417330002085e-05,1.774510502307083,0.044316186963094105,2.956457973568143,0.09940982931277986,42.73185729980469,0.9937641232512718,0.678568188391011,0.7345374147745923,0.66,0.0
802.2571185639971,8.683720537341003,15.924446801738979,0.0,1.774998123946206,5.6253700633039824e-05,1.7749981248380056,0.05915756535356913,2.956630838153857,0.09374804526578462,42.73185729980469,0.9937641232512718,0.678568188391011,0.7345374147745923,0.66,0.0
802.2621185639971,8.69255711700851,15.924935008569292,0.0,1.7754479818178723,5.781019770449939e-05,1.775447982759741,0.07399723070958021,2.9567939436836306,0.08623114534953569,42.73185729980469,0.9937641232512718,0.678568188391011,0.7345374147745923,0.66,0.0
802.2671185639971,8.701385026643344,15.925513441714731,0.0,1.7758604352984688,5.937143755521331e-05,1.775860436291501,0.08883539120290705,2.956934429652875,0.06955210163648307,42.73185729980469,0.9937641232512718,0.678568188391011,0.7345374147745923,0.66,0.0
802.2721185639971,8.7101829456472,15.92640397796547,0.0,1.7761435027281245,6.0949083219807824e-05,1.7761435037761057,0.10366834620473005,2.9569966719847502,0.05661349692096529,42.686492919921875,0.9927091376726017,0.6779864000395134,0.7350744461355332,0.66,0.0
802.2771185639971,8.718980864651057,15.927294514216207,0.0,1.7764265701577802,6.252672888440233e-05,1.7764265712607106,0.11850130120655303,2.957058914316626,0.05661349692096529,42.686492919921875,0.9927091376726017,0.6779864000395134,0.7350744461355332,0.66,0.0
802.2821185639971,8.727778783654912,15.928185050466945,0.0,1.7767096375874358,6.410437454899683e-05,1.7767096387453154,0.13333425620837602,2.957121156648501,0.0955578818669478,42.686492919921875,0.9927091376726017,0.6779864000395134,0.7350744461355332,0.66,0.0
802.2871185639971,8.736577970676574,15.929211245751564,0.0,1.7773821488368846,6.639691600594971e-05,1.77738215007938,0.14815016883416576,2.957160901713629,0.20330382983857476,42.686492919921875,0.9927091376726017,0.6779864000395134,0.7350744461355332,0.66,0.0
802.2921185639971,8.745379397857047,15.930477104689427,0.0,1.7787426756641789,6.99524366570263e-05,1.7787426770437011,0.16293597334269078,2.957160901713629,0.2349414833565433,42.686492919921875,0.9927091376726017,0.6779864000395134,0.7350744461355332,0.66,0.0
802.2971185639971,8.75413906715812,15.931781667445376,0.0,1.7797315634054203,7.324755439059062e-05,1.7797315649129455,0.17771906834272852,2.9571450004556716,-0.021914024076186145,42.686492919921875,0.9927091376726017,0.6779864000395134,0.7350744461355332,0.66,0.0
802.302118563997,8.762651887960942,15.933315024850593,0.0,1.778523535220756,7.500332026880825e-05,1.7785235368029393,0.1924861462913568,2.957035100132062,-0.01624109487137204,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.307118563997,8.771284210731153,15.934952376641341,0.0,1.7795691523108221,7.67043262959322e-05,1.7795691539642318,0.20735388569797972,2.957831915911897,0.6154532209534658,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.312118563997,8.780131994247455,15.936777229176936,0.0,1.784678067294026,7.830660090774767e-05,1.784678069012474,0.2224031166173868,2.9602635309541148,0.9944839124338856,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.317118563997,8.78897262067772,15.938725533575672,0.0,1.789513991329911,7.933453062272734e-05,1.7895139930885706,0.23746856466373323,2.9626498287842815,0.9007347588824155,42.686492919921875,0.9927091376726017,0.6779864000395134,0.7350744461355332,0.66,0.0
802.322118563997,8.797795825697802,15.940974338140995,0.0,1.7936854148628592,7.896441957278294e-05,1.793685416601298,0.252573487605175,2.9649258177910416,0.8342847025454736,42.686492919921875,0.9927091376726017,0.6779864000395134,0.7350744461355332,0.66,0.0
802.327118563997,8.806619030717883,15.94322314270632,0.0,1.7978568383958073,7.859430852283853e-05,1.7978568401140254,0.2676784105466168,2.9672018067978017,0.8342847025454514,42.686492919921875,0.9927091376726017,0.6779864000395134,0.7350744461355332,0.66,0.0
802.332118563997,8.815442235737965,15.945471947271644,0.0,1.8020282619287555,7.822419747289413e-05,1.8020282636267526,0.28278333348805856,2.9694777958045617,0.8023826299558223,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.337118563997,8.824241540384458,15.947862948738893,0.0,1.8058806647642338,7.715907425912433e-05,1.8058806664135836,0.2978997240386445,2.9716618725572896,0.7114692905460629,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.342118563997,8.832996635009199,15.950516980744265,0.0,1.8091429549840932,7.480834340567822e-05,1.8091429565322132,0.3130373269459229,2.9736759334425065,0.6183190190461874,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.347118563997,8.841721405651137,15.953268519019847,0.0,1.812063855165692,7.215513838921566e-05,1.8120638566040455,0.32817247529981614,2.975535595010444,0.5264213145218966,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.352118563997,8.85039487210781,15.95618502506314,0.0,1.8144071683632887,6.899018692448128e-05,1.8144071696774322,0.343303470872644,2.977134033267783,0.4343864790296026,42.55039978027344,0.9895441809365916,0.6762384863470138,0.7366827740507441,0.66,0.0
802.357118563997,8.859014083571521,15.959184676214978,0.0,1.816407720108867,6.827914614657499e-05,1.8164077213943415,0.3583452060561265,2.9781387300369384,0.34211014728680045,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.362118563997,8.867541487712984,15.962325020957522,0.0,1.8178282697318264,7.172047839281577e-05,1.8178282711503002,0.373235899706259,2.9781387300369384,0.2911133413413758,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.367118563997,8.876051193806989,15.965537053675394,0.0,1.8193188533189435,7.333777907862898e-05,1.8193188548077552,0.3881886858189125,2.97851102542931,0.33575646597121533,42.55039978027344,0.9895441809365916,0.6762384863470138,0.7366827740507441,0.66,0.0
802.372118563997,8.884465781709249,15.969134373561213,0.0,1.8211858345876382,6.515181846509313e-05,1.8211858358100124,0.40347518799658394,2.9808842231586494,0.37339620045142574,42.55039978027344,0.9895441809365916,0.6762384863470138,0.7366827740507441,0.66,0.0
802.377118563997,8.89288036961151,15.972731693447031,0.0,1.8230528158563326,5.696585785155727e-05,1.8230528168122695,0.41876169017425535,2.983257420887989,0.37339620045142574,42.55039978027344,0.9895441809365916,0.6762384863470138,0.7366827740507441,0.66,0.0
802.382118563997,8.901294957513768,15.976329013332847,0.0,1.8249197971250273,4.877989723802142e-05,1.8249197978145266,0.43404819235192676,2.9856306186173285,0.35744405016056024,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.387118563997,8.90965113935632,15.980044447778738,0.0,1.8266272567633677,4.476417545600495e-05,1.826627257313875,0.449207904063924,2.9871459979236525,0.3133116255907398,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.392118563997,8.917904143962444,15.983968537524287,0.0,1.8280529134337793,4.811538991382571e-05,1.828052914070434,0.4641436340534882,2.9871459979236525,0.274469128569943,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.397118563997,8.926121945277366,15.987937851597424,0.0,1.829371947937943,4.863939610189903e-05,1.8293719485995745,0.47915714952822985,2.987621968856171,0.20717835682571017,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.402118563997,8.934152777012947,15.992147358368916,0.0,1.8301246972769671,3.4147705664575456e-05,1.8301246976386911,0.49458379454131624,2.9906258876592746,0.15244775511880082,42.59576416015625,0.9905991665152616,0.6768215486524036,0.73614712610983,0.66,0.0
802.407118563997,8.942163079642045,15.996491211683473,0.0,1.83089642599227,2.39480360329905e-05,1.8308964261507625,0.5099358399524389,2.992920116748179,0.15783628608363465,42.55039978027344,0.9895441809365916,0.6762384863470138,0.7366827740507441,0.66,0.0
802.412118563997,8.950135626447254,16.001082146595266,0.0,1.8317030603664655,2.1641977445513192e-05,1.8317030604995275,0.5251506865314495,2.993909129758355,0.16132686975298682,42.459678649902344,0.9874343872070312,0.6750711885778216,0.7377525942700082,0.66,0.0
802.417118563997,8.958108173252462,16.005673081507062,0.0,1.8325096947406612,1.9335918858035883e-05,1.8325096948482924,0.5403655331104602,2.9948981427685313,0.16132686975296462,42.459678649902344,0.9874343872070312,0.6750711885778216,0.7377525942700082,0.66,0.0
802.422118563997,8.966080720057672,16.01026401641886,0.0,1.8333163291148566,1.7029860270558574e-05,1.8333163291970571,0.5555803796894708,2.9958871557787075,0.15505235240103055,42.459678649902344,0.9874343872070312,0.6750711885778216,0.7377525942700082,0.66,0.0
802.4271185639969,8.973969349736006,16.014984030333597,0.0,1.834060218313649,1.4489585014732874e-05,1.8340602183723027,0.5707968675873704,2.9968511735473045,0.1379259139083766,42.459678649902344,0.9874343872070312,0.6750711885778216,0.7377525942700082,0.66,0.0
802.4321185639969,8.981712842825798,16.019927289333545,0.0,1.8346955882977758,1.1544226678856166e-05,1.8346955883361409,0.5860161941837946,2.997771961474419,0.12329419683689835,42.459678649902344,0.9874343872070312,0.6750711885778216,0.7377525942700082,0.66,0.0
